file,psnr,ssim,error_std,error_mean,data_std,data_mean
CLOUDf01.bin.f32,30.32823944091797,0.6770285307786141,2.321096144441981e-05,5.293903996061999e-06,2.321096144441981e-05,5.293903996061999e-06
CLOUDf02.bin.f32,32.03974151611328,0.6941342723709479,2.993501584569458e-05,4.544519924820634e-06,3.0015651645953767e-05,4.585720034810947e-06
CLOUDf03.bin.f32,34.23212814331055,0.718904875494082,3.4621603845153004e-05,4.220557457301766e-06,3.554010618245229e-05,4.434477887116373e-06
CLOUDf04.bin.f32,33.89188003540039,0.738401860007691,3.873578680213541e-05,4.478271421248792e-06,4.0671748138265684e-05,4.963395440427121e-06
CLOUDf05.bin.f32,34.18624496459961,0.761061830829676,3.968595774495043e-05,4.675380296248477e-06,4.125829218537547e-05,5.134505045134574e-06
CLOUDf06.bin.f32,33.02281188964844,0.7556091736255857,3.976277730544098e-05,4.768134658661438e-06,4.1927964048227295e-05,5.309005246090237e-06
CLOUDf07.bin.f32,35.46083450317383,0.7397271650915851,4.245969103067182e-05,5.422047706815647e-06,4.497140253079124e-05,6.030679287505336e-06
CLOUDf08.bin.f32,34.4149284362793,0.7173578908136493,4.461268326849677e-05,5.8238488236384e-06,4.774035915033892e-05,6.52833296044264e-06
CLOUDf09.bin.f32,33.890106201171875,0.6965599070223267,4.768635699292645e-05,5.967128799966304e-06,5.191577656660229e-05,6.9552893364743795e-06
CLOUDf10.bin.f32,36.4586181640625,0.6900631140631159,4.538254870567471e-05,5.609956588159548e-06,4.924490349367261e-05,6.4477953856112435e-06
PRECIPf01.bin.f32,33.990562438964844,0.21934554592496064,5.828791836393066e-05,7.732743142696563e-06,8.415841148234904e-05,1.2212008186907042e-05
PRECIPf02.bin.f32,36.10443878173828,0.200209661595398,5.74740806769114e-05,5.789326678495854e-06,9.250215225620195e-05,1.0400989594927523e-05
PRECIPf03.bin.f32,40.816253662109375,0.18776977750209062,6.176157330628484e-05,4.881186669081217e-06,0.00014490541070699692,1.3571078852692153e-05
PRECIPf04.bin.f32,39.809139251708984,0.1786411845743619,6.839779962319881e-05,5.147538558958331e-06,0.0001604815770406276,1.6354440958821215e-05
PRECIPf05.bin.f32,39.73124313354492,0.17005196463097058,7.486897811759263e-05,6.324929017864633e-06,0.00015941915626171976,1.774033262336161e-05
PRECIPf06.bin.f32,46.230525970458984,0.16488284379419788,7.806764187989756e-05,6.891319117130479e-06,0.00017612498777452856,1.8930719306808896e-05
PRECIPf07.bin.f32,46.8188591003418,0.1597638394735451,7.195224316092208e-05,7.861022822908126e-06,0.0001781928731361404,1.7764594304026105e-05
PRECIPf08.bin.f32,47.216026306152344,0.15717297299431207,6.93981273798272e-05,7.713377272011712e-06,0.0001619238464627415,1.6526912077097222e-05
PRECIPf09.bin.f32,46.750404357910156,0.15814685399879447,7.24118945072405e-05,8.5741685325047e-06,0.00017499558452982455,1.8280046788277104e-05
PRECIPf10.bin.f32,46.95352554321289,0.15404997194152253,7.461240602424368e-05,8.450936547887977e-06,0.00021881540305912495,2.175653753511142e-05
Pf01.bin.f32,140.49900817871094,0.999999992526411,0.0005770163261331618,-5.608128716971805e-08,506.9913330078125,360.01513671875
Pf02.bin.f32,140.49314880371094,0.9999999948580778,0.0005769763374701142,-1.3943867394061726e-08,500.7049255371094,352.9607849121094
Pf03.bin.f32,140.67758178710938,0.9999999940546889,0.000577003404032439,-1.6137500224999712e-08,513.1865844726562,353.3302917480469
Pf04.bin.f32,140.93511962890625,0.9999999852434406,0.000576986582018435,6.338792957194528e-08,507.1795654296875,336.86968994140625
Pf05.bin.f32,141.19818115234375,0.9999999919476504,0.0005769391427747905,1.2351912381802777e-08,507.6239929199219,327.27947998046875
Pf06.bin.f32,141.5023193359375,0.999999985909303,0.0005769532290287316,1.108782399228403e-07,503.3272399902344,320.40020751953125
Pf07.bin.f32,141.63037109375,0.9999999922966518,0.0005768700502812862,4.8971877220083115e-08,498.3865051269531,322.93011474609375
Pf08.bin.f32,141.90945434570312,0.9999999955082831,0.000576950900722295,-4.886854920727046e-09,509.9676513671875,345.9913024902344
Pf09.bin.f32,142.0096435546875,0.9999999966412956,0.0005769964191131294,5.680741921310073e-08,517.169921875,354.2611083984375
Pf10.bin.f32,141.89419555664062,0.9999999965133788,0.000577109691221267,-1.0501849345700975e-07,531.935791015625,367.3946838378906
QCLOUDf01.bin.f32,32.91803741455078,0.8872550934807543,1.763458021741826e-05,1.098586835723836e-06,1.763458021741826e-05,1.098586835723836e-06
QCLOUDf02.bin.f32,33.24458312988281,0.8921079756337081,2.6304598577553406e-05,1.6498081549798371e-06,2.6402332878205925e-05,1.6910080375964753e-06
QCLOUDf03.bin.f32,35.01681900024414,0.9001891910729225,3.180571729899384e-05,1.9563256046239985e-06,3.281830140622333e-05,2.1702460344386054e-06
QCLOUDf04.bin.f32,34.62178421020508,0.9029595688671769,3.5783650673693046e-05,2.2072053980082273e-06,3.789973197854124e-05,2.692325097086723e-06
QCLOUDf05.bin.f32,34.913936614990234,0.9116958475679063,3.667210694402456e-05,2.3943036921991734e-06,3.839461714960635e-05,2.8534252578538144e-06
QCLOUDf06.bin.f32,33.76874542236328,0.906522706525245,3.666703560156748e-05,2.506058990547899e-06,3.903378456016071e-05,3.0469375360553386e-06
QCLOUDf07.bin.f32,36.22201919555664,0.895284435209573,3.910464147338644e-05,2.890682026190916e-06,4.1856976167764515e-05,3.499321792332921e-06
QCLOUDf08.bin.f32,35.167903900146484,0.8837845187758919,4.113601607969031e-05,3.1135077733779326e-06,4.455243470147252e-05,3.817988726950716e-06
QCLOUDf09.bin.f32,34.471710205078125,0.8678747520126359,4.4821248593507335e-05,3.3304604585282505e-06,4.9350881454302e-05,4.318619176046923e-06
QCLOUDf10.bin.f32,37.017974853515625,0.8568072465107036,4.2755924368975684e-05,3.217935272914474e-06,4.687731416197494e-05,4.055774752487196e-06
QGRAUPf01.bin.f32,38.231590270996094,0.7779060343700709,3.3445507142459974e-05,2.669746436367859e-06,3.7624464312102646e-05,3.234224777770578e-06
QGRAUPf02.bin.f32,39.52288055419922,0.6560231952321867,3.56081836798694e-05,2.5221156647603493e-06,4.69518345198594e-05,3.5129141906509176e-06
QGRAUPf03.bin.f32,44.317264556884766,0.5743545575687155,4.133116817683913e-05,2.0478862552408827e-06,9.347235754830763e-05,5.5646028158662375e-06
QGRAUPf04.bin.f32,42.79987335205078,0.5040019902932231,4.6454373659798875e-05,2.2922829430171987e-06,9.702866373118013e-05,6.808114449086133e-06
QGRAUPf05.bin.f32,42.86294174194336,0.4427191415828512,5.176830381969921e-05,2.94064670924854e-06,9.529870294500142e-05,7.618318704771809e-06
QGRAUPf06.bin.f32,49.29457092285156,0.38805799199945484,5.4899166570976377e-05,3.179404529873864e-06,0.00011897056538145989,8.909798452805262e-06
QGRAUPf07.bin.f32,50.17890167236328,0.3377813602286113,4.862617788603529e-05,3.493649046504288e-06,0.00012142318155383691,7.849957000871655e-06
QGRAUPf08.bin.f32,50.85352325439453,0.29534092226976055,4.513850944931619e-05,3.2095549613586627e-06,0.00010577478678897023,6.6430666265659966e-06
QGRAUPf09.bin.f32,51.017765045166016,0.2501404254229048,4.4042735680704936e-05,3.323905275465222e-06,0.00011892196926055476,6.915828635101207e-06
