step,psnr,ssim,cr
1,59.16077423095703,0.9472323330656197,980.4882831650161
2,59.05912399291992,0.9477102452371422,929.0054068114677
3,59.01860427856445,0.9463759405553648,848.4138902322109
4,58.93324279785156,0.9362786059443262,797.8553647794728
5,58.91518020629883,0.9311002390839164,769.574117683274
6,58.60275650024414,0.9113823576359648,603.8063955173413
7,58.42283630371094,0.9091557310721032,456.21894859781105
8,58.200538635253906,0.9208097434609531,361.7683235655886
9,57.92787551879883,0.9110619324068808,310.74236350641684
10,57.932350158691406,0.9096513683004042,321.10975531436645
11,57.979042053222656,0.9157970433057486,332.4434929172914
12,57.96961975097656,0.9161315569074344,336.95787689580925
13,58.06280517578125,0.9215758983525729,362.82232228055597
14,58.217899322509766,0.9241838534446161,386.55559635864626
15,58.05891418457031,0.9281818828496025,395.0570462374767
16,58.140357971191406,0.9336892249766007,385.2480805014389
17,58.09319305419922,0.9294253011240878,390.2591320636903
18,58.21041488647461,0.9334103559372398,401.95995674910864
19,58.10869598388672,0.9309362287547849,398.14781635830116
20,58.11827850341797,0.926562659840364,386.71554751187216
21,58.158660888671875,0.9267023135247432,374.8814437434161
22,58.11124038696289,0.9267710950101865,368.7737167596591
23,58.095211029052734,0.9232536318518505,372.45889916047764
24,58.08207702636719,0.9192296956795757,371.34963310656246
25,58.13383865356445,0.9233291342739328,379.923331471709
26,58.30540466308594,0.9269105416313245,393.0323229782417
27,58.38934326171875,0.926982175308905,400.3827659242236
28,58.23488998413086,0.9235193869268377,403.9343202795225
29,58.3741569519043,0.925435964514586,408.98959121490356
30,58.208396911621094,0.9162863701941116,404.9697892537217
31,58.30929183959961,0.9195047103427801,415.07898953170786
32,58.302330017089844,0.9226475057526694,413.86445938954995
33,58.34022521972656,0.9273840169944626,415.484267688204
34,58.32813262939453,0.9253054038731193,414.33087635123655
35,58.39895248413086,0.9325703613816422,411.0861718833502
36,58.36640167236328,0.9348145872496039,424.87742286350385
37,58.413185119628906,0.9357556068940807,431.6987778607599
38,58.38764190673828,0.9362024879731425,426.3937746508901
39,58.3973388671875,0.9377044148089675,432.22870085019383
40,58.44477462768555,0.9440207333696761,447.2251913005756
41,58.45518493652344,0.9456324162517639,441.11160123511246
42,58.380706787109375,0.9447856606538274,440.19509446586727
43,58.32693099975586,0.9491709277526758,428.162838890887
44,58.45180892944336,0.9476401654508508,431.5106324219829
45,58.33475875854492,0.9484950725867268,420.139822532939
46,58.31507110595703,0.9534742838385742,403.32501139393156
47,58.09564971923828,0.9496287031316762,383.1711242240785
48,57.9986572265625,0.9519038301143289,366.4104236437318
