,orig_psnr,edt_psnr,pred_psnr,orig_ssim,edt_ssim,pred_ssim,max_error_orig,max_error_edt,max_error_pred
0,50.805637,59.04099,60.150867,0.6075032235259554,0.9471548870768595,0.9022206656515177,0.005000005,0.009366546,0.010614459
1,50.786537,59.11253,59.956352,0.602417692678504,0.9494380287795485,0.8980785603621119,0.0050000106,0.009322948,0.010087973
2,50.795296,59.035828,59.955685,0.5993718309774296,0.9459524651764369,0.8971387466912625,0.0050000064,0.009323068,0.0101904115
3,50.827415,59.08812,59.960754,0.5802337064553769,0.9356308522728395,0.8891399840972788,0.0050000097,0.009351533,0.010205113
4,50.830036,59.188915,59.902992,0.5648176545051377,0.9351750136501258,0.8809263576479589,0.005000012,0.009373449,0.010398891
5,50.86457,59.00641,59.653244,0.5484241605004117,0.9187327306620243,0.8671738372842398,0.0049999994,0.00940557,0.010317359
6,50.842194,58.821762,59.475906,0.5462451363925819,0.918213096552049,0.8671629912824816,0.005000001,0.009362831,0.010305678
7,50.813858,58.688187,59.318657,0.5577464769040938,0.9205973644935943,0.8741773481932518,0.0050000134,0.009300863,0.010388465
8,50.811005,58.408413,59.380863,0.5688856508454129,0.9155733433279566,0.8805046844081348,0.005000012,0.009406562,0.010225162
9,50.816254,58.41859,59.716805,0.5842499670447999,0.9185396976194444,0.8912959006429328,0.005000013,0.0093626855,0.01018216
10,50.805534,58.472317,59.94113,0.5947073551987088,0.9248675531420149,0.9005761901415127,0.005000007,0.0093319155,0.0102281645
11,50.79926,58.53255,60.17903,0.5935404702059434,0.9252936648657465,0.9050643883536141,0.0050000143,0.009363594,0.0107203955
12,50.789165,58.60437,60.22737,0.5944066380994903,0.9270366948179514,0.9069979860370153,0.005000007,0.009341019,0.010169231
13,50.787567,58.707516,60.2098,0.5912901568207389,0.9299965094685314,0.9066989231652733,0.00500002,0.009346495,0.010527088
14,50.78006,58.78254,60.190136,0.5915558553711717,0.9336581763455268,0.9068680817833699,0.0050000004,0.00932361,0.010181883
15,50.773926,58.73575,60.1299,0.5970915609523942,0.9365471717749795,0.9081478769361517,0.005000007,0.009388105,0.010533751
16,50.77668,58.71547,60.13917,0.5942168786388133,0.9353348808614349,0.9072015667551392,0.0050000134,0.00938775,0.010285583
17,50.777267,58.790718,60.04715,0.5918467031817404,0.9364851169784393,0.9050942890058498,0.0050000064,0.009355559,0.010569944
18,50.772713,58.806934,59.959625,0.5864584401298117,0.9366227522458505,0.9018672254507233,0.0050000045,0.009342245,0.010493563
19,50.7815,58.82829,59.921272,0.5802825947993173,0.9327865652858941,0.8988507732080405,0.005000001,0.009371937,0.01051475
20,50.780815,58.829193,59.877136,0.5747089889467988,0.9311851690207592,0.8970103311440437,0.0050000106,0.009385904,0.01043103
21,50.78422,58.85678,59.8493,0.5728506001606118,0.9314176842167714,0.896425056267389,0.005000009,0.009340175,0.010199595
22,50.784836,58.862125,59.872334,0.5714396452363608,0.9298057752598574,0.897328913239102,0.0050000073,0.009356014,0.010455685
23,50.786224,58.883842,59.72293,0.5660327998743828,0.9284802769199579,0.892089461377198,0.005000016,0.00936064,0.010065671
