,orig_psnr,pred_psnr,orig_ssim,pred_ssim,max_error_orig,max_error_pred
0,50.805637,65.42761,0.6075032235259553,0.9518059062911327,0.005000005,0.008890458
1,50.786537,65.20602,0.6024176926785041,0.955384065481721,0.0050000106,0.009124256
2,50.795296,65.31257,0.5993718309774296,0.9526890502187954,0.0050000064,0.008757075
3,50.827415,64.99617,0.5802337064553769,0.94307134873226,0.0050000097,0.009102366
4,50.830036,64.831024,0.5648176545051375,0.9380709163652484,0.005000012,0.00935503
5,50.86457,64.48549,0.5484241605004117,0.9251431952467696,0.0049999994,0.009867387
6,50.842194,64.19694,0.5462451363925818,0.9272299131760027,0.005000001,0.009365374
7,50.813858,64.21401,0.5577464769040937,0.9364237863702152,0.0050000134,0.009333344
8,50.811005,64.11509,0.5688856508454128,0.9380435188726394,0.005000012,0.009675462
9,50.816254,64.131775,0.5842499670447999,0.9402557782372479,0.005000013,0.009453952
10,50.805534,64.21914,0.5947073551987088,0.9449563752584623,0.005000007,0.009569644
11,50.79926,64.41139,0.5935404702059434,0.9487649486803839,0.0050000143,0.009843414
12,50.789165,64.09718,0.5944066380994903,0.9463366822479854,0.005000007,0.009729283
13,50.787567,64.18446,0.5912901568207389,0.947214474180256,0.00500002,0.009724339
14,50.78006,64.290504,0.5915558553711718,0.9493293951842103,0.0050000004,0.009924852
15,50.773926,64.2952,0.5970915609523941,0.9520091745234415,0.005000007,0.009903233
16,50.77668,64.22998,0.5942168786388133,0.9516266071824169,0.0050000134,0.009938055
17,50.777267,64.16235,0.5918467031817405,0.9522267166901702,0.0050000064,0.009663443
18,50.772713,64.40797,0.5864584401298115,0.9536517188053871,0.0050000045,0.009471934
19,50.7815,63.959606,0.5802825947993173,0.9485442896859588,0.005000001,0.009747908
20,50.780815,64.07388,0.5747089889467988,0.9476568690674204,0.0050000106,0.009828121
21,50.78422,64.18135,0.5728506001606118,0.9478599756512457,0.005000009,0.009471759
22,50.784836,63.901855,0.5714396452363608,0.9459793283877923,0.0050000073,0.009677083
23,50.786224,63.913128,0.5660327998743828,0.9431974070800764,0.005000016,0.009730427
24,50.78392,64.06978,0.5640165159666141,0.9441947977766056,0.005000002,0.009821505
25,50.78318,63.94523,0.556406805581382,0.94176111354599,0.0050000045,0.0096432045
26,50.786144,64.1204,0.548659375944082,0.942631986163546,0.0050000106,0.009631721
27,50.79248,63.78566,0.5397051649113423,0.9371455059307635,0.0050000018,0.009483863
28,50.796494,63.649918,0.5320804039718686,0.9341517853395429,0.005,0.009672323
29,50.792202,63.64133,0.5272259558730537,0.9356255412801454,0.005000011,0.010152353
30,50.794525,63.560974,0.5261709910626725,0.9355255922946917,0.0050000064,0.009645625
31,50.787807,63.486687,0.528032261684591,0.9375943441897213,0.005000001,0.0097835725
32,50.784775,63.48191,0.5276583696186717,0.9390764584933324,0.005000007,0.009935871
33,50.78108,63.648438,0.5294463383282476,0.9420384988901321,0.005000008,0.010030035
34,50.774178,63.469116,0.5306821985374288,0.9422468241079729,0.0050000106,0.010108916
35,50.771133,63.512585,0.5318476673092758,0.9452155143065747,0.005000009,0.009895928
36,50.765144,63.791092,0.53370891539382,0.950556644044325,0.005000006,0.009986586
37,50.763763,63.673725,0.5343072491298628,0.9518763369642625,0.0050000097,0.01013579
38,50.759132,63.852913,0.5370461422643258,0.9556310418405543,0.005000001,0.010643626
39,50.752365,63.844337,0.54178297219905,0.9588396040865506,0.0050000087,0.011076562
40,50.7473,63.91574,0.5491564063788926,0.9629284899056171,0.005000009,0.01110275
41,50.742516,63.91423,0.5567893260611372,0.966816690932908,0.0050000097,0.010715339
42,50.740852,63.825874,0.5631136042127175,0.9690580599084377,0.005000012,0.010369309
43,50.740116,63.725227,0.5623760204681759,0.969311597318744,0.005,0.010558822
44,50.738457,63.703724,0.5670448322018967,0.9712942178173875,0.0050000013,0.010665546
45,50.73373,63.94422,0.5808519485449624,0.9749049929339036,0.0050000083,0.010078291
46,50.731888,63.92016,0.5898002517227132,0.9760738945144954,0.0050000143,0.010031861
47,50.73026,64.062256,0.6038333861769373,0.9785554575331136,0.005000005,0.00989859
